timestamp,board_id,channel,type,cpu_temp,raw_temp,corrected_temp
2025-04-29T16:18:12,1,1,K,60.05,21.6,-19.449999999999996
2025-04-29T16:18:12,1,2,K,60.05,26.5,-14.549999999999997
2025-04-29T16:18:15,1,1,K,59.5,21.4,-19.1
2025-04-29T16:18:15,1,2,K,59.5,26.5,-14.0
2025-04-29T16:18:17,1,1,K,60.05,23.1,-17.949999999999996
2025-04-29T16:18:17,1,2,K,60.05,26.5,-14.549999999999997
2025-04-29T16:18:19,1,1,K,59.5,33.3,-7.200000000000003
2025-04-29T16:18:19,1,2,K,59.5,26.6,-13.899999999999999
2025-04-29T16:18:21,1,1,K,60.6,41.7,0.10000000000000142
2025-04-29T16:18:21,1,2,K,60.6,26.5,-15.100000000000001
2025-04-29T16:18:23,1,1,K,61.7,46.8,4.099999999999994
2025-04-29T16:18:23,1,2,K,61.7,26.5,-16.200000000000003
2025-04-29T16:18:25,1,1,K,60.6,50.6,9.0
2025-04-29T16:18:25,1,2,K,60.6,26.5,-15.100000000000001
2025-04-29T16:18:27,1,1,K,61.15,50.4,8.25
2025-04-29T16:18:27,1,2,K,61.15,26.5,-15.649999999999999
2025-04-29T16:18:29,1,1,K,62.8,50.7,6.900000000000006
2025-04-29T16:18:29,1,2,K,62.8,26.5,-17.299999999999997
2025-04-29T16:18:32,1,1,K,61.15,48.9,6.75
2025-04-29T16:18:32,1,2,K,61.15,26.5,-15.649999999999999
2025-04-29T16:18:34,1,1,K,62.8,47.5,3.700000000000003
2025-04-29T16:18:34,1,2,K,62.8,26.5,-17.299999999999997
2025-04-29T16:18:36,1,1,K,61.15,46.3,4.149999999999999
2025-04-29T16:18:36,1,2,K,61.15,26.5,-15.649999999999999
2025-04-29T16:18:38,1,1,K,61.7,45.1,2.3999999999999986
2025-04-29T16:18:38,1,2,K,61.7,26.4,-16.300000000000004
2025-04-29T16:18:40,1,1,K,60.6,43.8,2.1999999999999957
2025-04-29T16:18:40,1,2,K,60.6,26.4,-15.200000000000003
2025-04-29T16:18:42,1,1,K,61.7,42.7,0.0
2025-04-29T16:18:42,1,2,K,61.7,26.4,-16.300000000000004
2025-04-29T16:18:44,1,1,K,61.7,41.7,-1.0
2025-04-29T16:18:44,1,2,K,61.7,26.5,-16.200000000000003
2025-04-29T16:18:46,1,1,K,62.25,40.6,-2.6499999999999986
